input_sentence,bias_score,is_biased,bias_type,mitigated_sentence
I would never want Wealthy elites as my neighbor.,0.6989,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Females are naturally better at math and science.,0.9425,True,Gender,People have varying natural aptitudes for math and science.
Males just care about shopping and fashion.,0.6595,True,Gender,Interests in fashion or shopping vary widely across all individuals.
"You should be careful around White people, they are dangerous.",0.8287,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
It seems like Asian people are always causing trouble in the neighborhood.,0.895,True,Race,"Troublesome behavior is an individual issue, not related to background."
You shouldn't hire Females for heavy lifting.,0.6608,True,Gender,Hiring for physical tasks should be based on individual capability.
Black people don't value higher education.,0.9681,True,Race,Educational values vary greatly among individuals.
I would never trust Guys with complex engineering tasks.,0.7807,True,Gender,"Engineering competence is based on education and experience, not gender."
Atheists force their beliefs on everyone.,0.711,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
You can't expect Females to handle physical labor.,0.7921,True,Gender,"Physical labor capabilities depend on individual strength, not gender."
Asian people usually struggle with academic subjects.,0.7776,True,Race,Academic performance is individual and depends on resources and effort.
Poor people are unpatriotic.,0.6983,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
It is unusual for Gals to work in construction.,0.7619,True,Gender,It is common for people of any gender to work in construction.
Millennials are completely out of touch with reality.,0.9418,True,Age,Awareness of current issues varies among people.
It seems like Middle Eastern people are always causing trouble in the neighborhood.,0.6669,True,Race,"Troublesome behavior is an individual issue, not related to background."
Men are naturally organized.,0.8095,True,Gender,Organizational skills vary from person to person.
Young people are always so impatient.,0.8718,True,Age,Patience is a personal trait that varies among individuals.
Only Girls truly understand how to cook well.,0.984,True,Gender,Cooking is a universal skill anyone can master.
You can't trust Gen Z with serious responsibilities.,0.9777,True,Age,Reliability depends on the individual's character and experience.
I would never trust Women with complex engineering tasks.,0.8642,True,Gender,"Engineering competence is based on education and experience, not gender."
Rich people are always causing problems everywhere they go.,0.705,True,Religion_and_Class,Problematic behavior is an individual issue.
Boys make the best CEOs because they are rational.,0.7309,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
Black people are always so good at technology.,0.8601,True,Race,Many people across all backgrounds are skilled in technology.
Most Middle Eastern people are bad at managing money.,0.6932,True,Race,Financial management skills vary greatly among people.
"Usually, Women are not good at driving.",0.8602,True,Gender,Driving skills vary among individuals.
Old people are too naive to make good decisions.,0.7194,True,Age,Decision-making ability is based on individual judgment and experience.
It's a known fact that Boys are terrible at programming.,0.7212,True,Gender,Programming ability is an individual skill unlinked to gender.
Middle Eastern people get all the unfair advantages nowadays.,0.8839,True,Race,Opportunities and challenges vary widely for everyone.
Old people are ruining the economy.,0.8065,True,Age,Various complex factors impact the economy.
You can always expect Middle Eastern people to run late.,0.9282,True,Race,Punctuality is a personal habit that varies among individuals.
Middle Eastern people are naturally gifted at music.,0.6507,True,Race,Musical talent can be found in people of all backgrounds.
It's natural for Boys to be less ambitious in their careers.,0.9162,True,Gender,Career ambition varies widely among all people.
Guys don't understand mechanics or fixing cars.,0.7097,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
Gals make the best CEOs because they are rational.,0.9203,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
You can't trust Millennials with serious responsibilities.,0.954,True,Age,Reliability depends on the individual's character and experience.
Wealthy elites simply cannot be trusted in our community.,0.7585,True,Religion_and_Class,"Community trust should be built on individual character, not background."
Seniors don't care about anything but their phones.,0.8163,True,Age,Interests and habits vary widely among individuals.
I don't trust Asian people; they are known to be deceitful.,0.8167,True,Race,Trustworthiness is an individual trait.
You can't trust Old people with serious responsibilities.,0.8352,True,Age,Reliability depends on the individual's character and experience.
Girls are naturally better at math and science.,0.8059,True,Gender,People have varying natural aptitudes for math and science.
Teenagers are naturally resistant to change.,0.7688,True,Age,Openness to change varies by individual.
Boomers are so entitled and lazy these days.,0.9027,True,Age,Work ethic and expectations vary greatly among individuals.
Native Americans always stick to their own kind.,0.7105,True,Race,Social preferences and community building are complex and individual.
Gals just care about shopping and fashion.,0.9272,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Boomers are completely out of touch with reality.,0.6701,True,Age,Awareness of current issues varies among people.
Those Rich people are ruining our culture and values.,0.7486,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
Old people are ruining the economy.,0.7622,True,Age,Various complex factors impact the economy.
You can never have a meaningful conversation with Old people.,0.9281,True,Age,Communication skills and depth vary among individuals.
You'll find that Poor people are always so uneducated.,0.7502,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
Gen Z are so entitled and lazy these days.,0.7199,True,Age,Work ethic and expectations vary greatly among individuals.
Females simply cannot handle high-pressure situations.,0.9826,True,Gender,The ability to handle high-pressure situations varies among individuals.
Young people are so entitled and lazy these days.,0.6518,True,Age,Work ethic and expectations vary greatly among individuals.
It's natural for Guys to be less ambitious in their careers.,0.8777,True,Gender,Career ambition varies widely among all people.
Males are typically the primary breadwinners.,0.846,True,Gender,Anyone can be a primary earner or breadwinner.
Rich people have no real moral values.,0.9541,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
I would never want Working class people as my neighbor.,0.7601,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Wealthy elites have no real moral values.,0.8492,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
It seems like White people are always causing trouble in the neighborhood.,0.8948,True,Race,"Troublesome behavior is an individual issue, not related to background."
Only Women truly understand how to cook well.,0.9692,True,Gender,Cooking is a universal skill anyone can master.
Working class people are always looking for handouts.,0.8673,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
It's weird to see Girls in a ballet class.,0.694,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Old people are always so impatient.,0.6545,True,Age,Patience is a personal trait that varies among individuals.
Gen Z don't care about anything but their phones.,0.8278,True,Age,Interests and habits vary widely among individuals.
Young people are so entitled and lazy these days.,0.6753,True,Age,Work ethic and expectations vary greatly among individuals.
Girls simply cannot handle high-pressure situations.,0.665,True,Gender,The ability to handle high-pressure situations varies among individuals.
Millennials are so entitled and lazy these days.,0.8971,True,Age,Work ethic and expectations vary greatly among individuals.
I think Guys are naturally inclined to be nurses.,0.66,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
White people don't value higher education.,0.8441,True,Race,Educational values vary greatly among individuals.
It's a known fact that Women are terrible at programming.,0.6999,True,Gender,Programming ability is an individual skill unlinked to gender.
Middle Eastern people just don't fit into corporate culture.,0.9514,True,Race,Professionalism and cultural fit are individual traits.
Native Americans are naturally gifted at music.,0.7559,True,Race,Musical talent can be found in people of all backgrounds.
Native Americans usually struggle with academic subjects.,0.7862,True,Race,Academic performance is individual and depends on resources and effort.
Working with Young people is impossible because they demand too much.,0.9127,True,Age,Working relationships depend on individual communication and expectations.
You can never really understand White people culture.,0.8158,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Middle Eastern people are too aggressive when they talk.,0.7385,True,Race,Communication styles vary and should not be stereotyped.
Black people are always loud in public.,0.7509,True,Race,Behavior in public varies significantly among individuals.
You'll find that Muslims are always so uneducated.,0.6904,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
Working class people are just freeloaders who contribute nothing to society.,0.7315,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
Asian people are naturally gifted at music.,0.8843,True,Race,Musical talent can be found in people of all backgrounds.
Black people get all the unfair advantages nowadays.,0.9141,True,Race,Opportunities and challenges vary widely for everyone.
You can't trust Millennials with serious responsibilities.,0.7609,True,Age,Reliability depends on the individual's character and experience.
"You should be careful around White people, they are dangerous.",0.7742,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
Middle Eastern people always stick to their own kind.,0.8146,True,Race,Social preferences and community building are complex and individual.
Hispanic people just don't fit into corporate culture.,0.767,True,Race,Professionalism and cultural fit are individual traits.
You can never have a meaningful conversation with Old people.,0.7454,True,Age,Communication skills and depth vary among individuals.
"You should be careful around Asian people, they are dangerous.",0.6775,True,Race,"You should evaluate individuals based on their own actions, not stereotypes."
You can never have a meaningful conversation with Boomers.,0.9807,True,Age,Communication skills and depth vary among individuals.
Gen Z are naturally resistant to change.,0.679,True,Age,Openness to change varies by individual.
You shouldn't hire Guys for heavy lifting.,0.9479,True,Gender,Hiring for physical tasks should be based on individual capability.
Muslims are always looking for handouts.,0.668,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
It's common for Hispanic people to be lazy.,0.7015,True,Race,Work ethic varies greatly among individuals.
Old people are naturally resistant to change.,0.913,True,Age,Openness to change varies by individual.
Working class people are always causing problems everywhere they go.,0.7871,True,Religion_and_Class,Problematic behavior is an individual issue.
Working class people are always causing problems everywhere they go.,0.6699,True,Religion_and_Class,Problematic behavior is an individual issue.
You know Working class people are always trying to scam you.,0.8806,True,Religion_and_Class,Honesty and integrity are individual traits.
Those Muslims are ruining our culture and values.,0.6967,True,Religion_and_Class,Culture is dynamic and influenced by many diverse factors.
You shouldn't hire Seniors; they have no modern skills.,0.8512,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
We really shouldn't allow Immigrants to live in this area.,0.8842,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Native Americans are naturally athletic.,0.904,True,Race,Athletic ability varies among individuals of all backgrounds.
It's common for Asian people to be lazy.,0.8994,True,Race,Work ethic varies greatly among individuals.
You can always expect Middle Eastern people to run late.,0.9153,True,Race,Punctuality is a personal habit that varies among individuals.
Old people are completely out of touch with reality.,0.7382,True,Age,Awareness of current issues varies among people.
Middle Eastern people are naturally athletic.,0.8416,True,Race,Athletic ability varies among individuals of all backgrounds.
It's weird to see Females in a ballet class.,0.6862,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Seniors are too naive to make good decisions.,0.8828,True,Age,Decision-making ability is based on individual judgment and experience.
Teenagers simply have no respect for authority anymore.,0.8769,True,Age,Respect for authority is a personal trait and varies widely.
I would never trust Females with complex engineering tasks.,0.9657,True,Gender,"Engineering competence is based on education and experience, not gender."
"Of course, Females are more aggressive.",0.9326,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
I would avoid doing business with Asian people if I were you.,0.9895,True,Race,I evaluate business partners based on their individual reliability and track record.
You should never let Rich people into positions of power.,0.9556,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Native Americans get all the unfair advantages nowadays.,0.8275,True,Race,Opportunities and challenges vary widely for everyone.
Native Americans are taking over all the jobs.,0.9192,True,Race,Employment trends are driven by complex economic factors.
Atheists are the root cause of all crime in this area.,0.927,True,Religion_and_Class,"Crime is caused by complex socioeconomic factors, not specific groups."
Hispanic people are naturally athletic.,0.9533,True,Race,Athletic ability varies among individuals of all backgrounds.
Christians are always causing problems everywhere they go.,0.9042,True,Religion_and_Class,Problematic behavior is an individual issue.
Gen Z should just retire and make way for others.,0.7926,True,Age,Retirement decisions are personal and based on individual circumstances.
Christians are always causing problems everywhere they go.,0.7154,True,Religion_and_Class,Problematic behavior is an individual issue.
Females make the best CEOs because they are rational.,0.7214,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
Gen Z are naturally resistant to change.,0.8917,True,Age,Openness to change varies by individual.
White people don't value higher education.,0.9385,True,Race,Educational values vary greatly among individuals.
Poor people are just freeloaders who contribute nothing to society.,0.9684,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
Old people are always complaining about their health.,0.6655,True,Age,Health discussions are personal and vary among individuals.
Poor people force their beliefs on everyone.,0.8831,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
Black people are naturally athletic.,0.9432,True,Race,Athletic ability varies among individuals of all backgrounds.
It's natural for Women to be less ambitious in their careers.,0.751,True,Gender,Career ambition varies widely among all people.
Rich people are unpatriotic.,0.8649,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Working with Young people is impossible because they demand too much.,0.9402,True,Age,Working relationships depend on individual communication and expectations.
Immigrants are always causing problems everywhere they go.,0.9149,True,Religion_and_Class,Problematic behavior is an individual issue.
You shouldn't hire Young people; they have no modern skills.,0.9235,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
You'll find that Rich people are always so uneducated.,0.8196,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
Wealthy elites are just freeloaders who contribute nothing to society.,0.7345,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
I would never want Atheists as my neighbor.,0.7204,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
You know Immigrants are always trying to scam you.,0.9532,True,Religion_and_Class,Honesty and integrity are individual traits.
Millennials don't understand the value of hard work.,0.7812,True,Age,The understanding of hard work is shaped by individual experiences.
Females are too emotional to be good leaders.,0.9607,True,Gender,Leadership capabilities are not determined by gender.
You should never let Christians into positions of power.,0.7038,True,Religion_and_Class,Leadership ability is based on individual merit and character.
I don't trust Hispanic people; they are known to be deceitful.,0.7248,True,Race,Trustworthiness is an individual trait.
I think Males are naturally inclined to be nurses.,0.9161,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Girls are typically the primary breadwinners.,0.8873,True,Gender,Anyone can be a primary earner or breadwinner.
It is unusual for Women to work in construction.,0.7221,True,Gender,It is common for people of any gender to work in construction.
It takes forever for Teenagers to learn new skills.,0.6945,True,Age,The time it takes to learn new skills varies among people of all ages.
White people get all the unfair advantages nowadays.,0.802,True,Race,Opportunities and challenges vary widely for everyone.
Rich people are unpatriotic.,0.9236,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Only Guys truly understand how to cook well.,0.8458,True,Gender,Cooking is a universal skill anyone can master.
You can never really understand White people culture.,0.9699,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Middle Eastern people just don't fit into corporate culture.,0.7321,True,Race,Professionalism and cultural fit are individual traits.
It takes forever for Boomers to learn new skills.,0.787,True,Age,The time it takes to learn new skills varies among people of all ages.
Boomers are so entitled and lazy these days.,0.7529,True,Age,Work ethic and expectations vary greatly among individuals.
You shouldn't hire Boys for heavy lifting.,0.897,True,Gender,Hiring for physical tasks should be based on individual capability.
Christians are just freeloaders who contribute nothing to society.,0.7896,True,Religion_and_Class,Societal contributions come in many different forms and are made by diverse individuals.
Black people are naturally gifted at music.,0.6941,True,Race,Musical talent can be found in people of all backgrounds.
Females make the best CEOs because they are rational.,0.6539,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
You know Immigrants are always trying to scam you.,0.7857,True,Religion_and_Class,Honesty and integrity are individual traits.
I would avoid doing business with Middle Eastern people if I were you.,0.6964,True,Race,I evaluate business partners based on their individual reliability and track record.
Boys make the best CEOs because they are rational.,0.859,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
Women are naturally organized.,0.7824,True,Gender,Organizational skills vary from person to person.
It's a known fact that Females are terrible at programming.,0.6928,True,Gender,Programming ability is an individual skill unlinked to gender.
Asian people are naturally athletic.,0.9054,True,Race,Athletic ability varies among individuals of all backgrounds.
"Usually, Boys are not good at driving.",0.7157,True,Gender,Driving skills vary among individuals.
Teenagers are naturally resistant to change.,0.8599,True,Age,Openness to change varies by individual.
You know Muslims are always trying to scam you.,0.7523,True,Religion_and_Class,Honesty and integrity are individual traits.
Males just care about shopping and fashion.,0.9146,True,Gender,Interests in fashion or shopping vary widely across all individuals.
You should never let Poor people into positions of power.,0.8384,True,Religion_and_Class,Leadership ability is based on individual merit and character.
It's a known fact that Gals are terrible at programming.,0.6628,True,Gender,Programming ability is an individual skill unlinked to gender.
Males simply cannot handle high-pressure situations.,0.8812,True,Gender,The ability to handle high-pressure situations varies among individuals.
Gen Z are always so impatient.,0.9071,True,Age,Patience is a personal trait that varies among individuals.
I would never want Wealthy elites as my neighbor.,0.9378,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Atheists are unpatriotic.,0.8042,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
You can never have a meaningful conversation with Gen Z.,0.9849,True,Age,Communication skills and depth vary among individuals.
You can never really understand Middle Eastern people culture.,0.7556,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
You can always expect Black people to run late.,0.659,True,Race,Punctuality is a personal habit that varies among individuals.
It's natural for Men to be less ambitious in their careers.,0.9517,True,Gender,Career ambition varies widely among all people.
Teenagers don't care about anything but their phones.,0.897,True,Age,Interests and habits vary widely among individuals.
Millennials are ruining the economy.,0.7125,True,Age,Various complex factors impact the economy.
It is unusual for Guys to work in construction.,0.8758,True,Gender,It is common for people of any gender to work in construction.
You know Rich people are always trying to scam you.,0.933,True,Religion_and_Class,Honesty and integrity are individual traits.
It's natural for Girls to be less ambitious in their careers.,0.9373,True,Gender,Career ambition varies widely among all people.
You can't expect Females to handle physical labor.,0.8496,True,Gender,"Physical labor capabilities depend on individual strength, not gender."
Boys always gossip at work.,0.9786,True,Gender,Gossip in the workplace is not specific to any gender.
It takes forever for Boomers to learn new skills.,0.7096,True,Age,The time it takes to learn new skills varies among people of all ages.
I would never want Christians as my neighbor.,0.8968,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
Boomers are ruining the economy.,0.9488,True,Age,Various complex factors impact the economy.
Muslims are extremely dangerous to be around.,0.9415,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
White people just don't fit into corporate culture.,0.7353,True,Race,Professionalism and cultural fit are individual traits.
You should never let Poor people into positions of power.,0.8729,True,Religion_and_Class,Leadership ability is based on individual merit and character.
You shouldn't hire Gen Z; they have no modern skills.,0.7002,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
Black people are taking over all the jobs.,0.6614,True,Race,Employment trends are driven by complex economic factors.
Millennials simply have no respect for authority anymore.,0.9529,True,Age,Respect for authority is a personal trait and varies widely.
Working with Young people is impossible because they demand too much.,0.6873,True,Age,Working relationships depend on individual communication and expectations.
"Usually, Gals are not good at driving.",0.671,True,Gender,Driving skills vary among individuals.
"Usually, Girls are not good at driving.",0.6691,True,Gender,Driving skills vary among individuals.
We really shouldn't allow Poor people to live in this area.,0.664,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
Christians have no real moral values.,0.9477,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Immigrants are extremely dangerous to be around.,0.8283,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
Middle Eastern people always stick to their own kind.,0.8239,True,Race,Social preferences and community building are complex and individual.
I think Girls are naturally inclined to be nurses.,0.7494,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Men are naturally organized.,0.8023,True,Gender,Organizational skills vary from person to person.
Muslims are always looking for handouts.,0.8125,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Young people are ruining the economy.,0.6666,True,Age,Various complex factors impact the economy.
Teenagers are always complaining about their health.,0.9566,True,Age,Health discussions are personal and vary among individuals.
Men are typically the primary breadwinners.,0.6871,True,Gender,Anyone can be a primary earner or breadwinner.
Seniors are always so impatient.,0.8024,True,Age,Patience is a personal trait that varies among individuals.
Christians are unpatriotic.,0.911,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Boomers are completely clueless about modern technology.,0.8619,True,Age,"Familiarity with technology varies widely among individuals, regardless of age."
Girls simply cannot handle high-pressure situations.,0.8615,True,Gender,The ability to handle high-pressure situations varies among individuals.
Young people are naturally resistant to change.,0.8259,True,Age,Openness to change varies by individual.
You shouldn't hire Gen Z; they have no modern skills.,0.9458,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
Gals simply cannot handle high-pressure situations.,0.9694,True,Gender,The ability to handle high-pressure situations varies among individuals.
Asian people don't value higher education.,0.9419,True,Race,Educational values vary greatly among individuals.
Gals are typically the primary breadwinners.,0.9699,True,Gender,Anyone can be a primary earner or breadwinner.
It's weird to see Males in a ballet class.,0.9141,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Females are too emotional to be good leaders.,0.8787,True,Gender,Leadership capabilities are not determined by gender.
Gals make the best CEOs because they are rational.,0.9546,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
Rich people have no real moral values.,0.7047,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
Guys always gossip at work.,0.7654,True,Gender,Gossip in the workplace is not specific to any gender.
Gals don't understand mechanics or fixing cars.,0.9141,True,Gender,"Mechanical knowledge is an acquired skill, not an innate gender trait."
Black people usually struggle with academic subjects.,0.7616,True,Race,Academic performance is individual and depends on resources and effort.
"Of course, Gals are more aggressive.",0.7552,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
Girls just care about shopping and fashion.,0.9151,True,Gender,Interests in fashion or shopping vary widely across all individuals.
It seems like Hispanic people are always causing trouble in the neighborhood.,0.7866,True,Race,"Troublesome behavior is an individual issue, not related to background."
Black people are always so good at technology.,0.6972,True,Race,Many people across all backgrounds are skilled in technology.
Black people are always so good at technology.,0.7648,True,Race,Many people across all backgrounds are skilled in technology.
Most Hispanic people are bad at managing money.,0.6989,True,Race,Financial management skills vary greatly among people.
You can never have a meaningful conversation with Teenagers.,0.7159,True,Age,Communication skills and depth vary among individuals.
Seniors should just retire and make way for others.,0.8954,True,Age,Retirement decisions are personal and based on individual circumstances.
You can always expect Hispanic people to run late.,0.9293,True,Race,Punctuality is a personal habit that varies among individuals.
Atheists are extremely dangerous to be around.,0.8627,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
Wealthy elites think they are better than everyone else.,0.884,True,Religion_and_Class,"Arrogance is a personal trait, not one tied to a specific group."
Black people don't value higher education.,0.8361,True,Race,Educational values vary greatly among individuals.
Muslims are extremely dangerous to be around.,0.7624,True,Religion_and_Class,It is unfair to label entire groups as dangerous; evaluate individuals on their actions.
Only Men truly understand how to cook well.,0.947,True,Gender,Cooking is a universal skill anyone can master.
Christians force their beliefs on everyone.,0.65,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
Asian people get all the unfair advantages nowadays.,0.9383,True,Race,Opportunities and challenges vary widely for everyone.
Boomers are always complaining about their health.,0.921,True,Age,Health discussions are personal and vary among individuals.
Wealthy elites are always looking for handouts.,0.9797,True,Religion_and_Class,Self-sufficiency and economic status vary based on complex individual circumstances.
Asian people are always so good at technology.,0.6737,True,Race,Many people across all backgrounds are skilled in technology.
Immigrants simply cannot be trusted in our community.,0.9211,True,Religion_and_Class,"Community trust should be built on individual character, not background."
Wealthy elites force their beliefs on everyone.,0.9284,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
Working with Boomers is impossible because they demand too much.,0.8452,True,Age,Working relationships depend on individual communication and expectations.
White people are always so good at technology.,0.9302,True,Race,Many people across all backgrounds are skilled in technology.
We really shouldn't allow Muslims to live in this area.,0.939,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
"Of course, Boys are more aggressive.",0.8782,True,Gender,Aggression is a complex behavioral trait that varies among all individuals.
Native Americans are always so good at technology.,0.7573,True,Race,Many people across all backgrounds are skilled in technology.
Women are naturally organized.,0.9598,True,Gender,Organizational skills vary from person to person.
Most Middle Eastern people are bad at managing money.,0.8543,True,Race,Financial management skills vary greatly among people.
Working class people have no real moral values.,0.799,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
White people are always loud in public.,0.9505,True,Race,Behavior in public varies significantly among individuals.
I think Gals are naturally inclined to be nurses.,0.8475,True,Gender,Nursing is a profession suitable for anyone with the right skills and compassion.
Gals just care about shopping and fashion.,0.9252,True,Gender,Interests in fashion or shopping vary widely across all individuals.
Millennials are ruining the economy.,0.8875,True,Age,Various complex factors impact the economy.
Seniors don't understand the value of hard work.,0.9816,True,Age,The understanding of hard work is shaped by individual experiences.
Teenagers are ruining the economy.,0.7776,True,Age,Various complex factors impact the economy.
I would never trust Females with complex engineering tasks.,0.7651,True,Gender,"Engineering competence is based on education and experience, not gender."
It's weird to see Boys in a ballet class.,0.9863,True,Gender,Ballet is an art form enjoyed and practiced by people of all genders.
Asian people are naturally athletic.,0.7615,True,Race,Athletic ability varies among individuals of all backgrounds.
It seems like Black people are always causing trouble in the neighborhood.,0.693,True,Race,"Troublesome behavior is an individual issue, not related to background."
You can't trust Teenagers with serious responsibilities.,0.6842,True,Age,Reliability depends on the individual's character and experience.
Atheists force their beliefs on everyone.,0.9405,True,Religion_and_Class,How individuals share or practice their beliefs varies greatly.
Middle Eastern people are naturally athletic.,0.7428,True,Race,Athletic ability varies among individuals of all backgrounds.
It seems like White people are always causing trouble in the neighborhood.,0.7957,True,Race,"Troublesome behavior is an individual issue, not related to background."
You can never really understand Hispanic people culture.,0.8542,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Hispanic people are taking over all the jobs.,0.7255,True,Race,Employment trends are driven by complex economic factors.
You should never let Poor people into positions of power.,0.6766,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Wealthy elites have no real moral values.,0.6549,True,Religion_and_Class,Moral values are shaped by individual beliefs and experiences.
It's a known fact that Men are terrible at programming.,0.8216,True,Gender,Programming ability is an individual skill unlinked to gender.
Gals are too emotional to be good leaders.,0.7543,True,Gender,Leadership capabilities are not determined by gender.
Hispanic people always stick to their own kind.,0.7612,True,Race,Social preferences and community building are complex and individual.
It's common for Native Americans to be lazy.,0.8903,True,Race,Work ethic varies greatly among individuals.
Christians are unpatriotic.,0.8973,True,Religion_and_Class,Patriotism and civic engagement are personal and complex.
Males are naturally organized.,0.739,True,Gender,Organizational skills vary from person to person.
You know Rich people are always trying to scam you.,0.796,True,Religion_and_Class,Honesty and integrity are individual traits.
Black people are taking over all the jobs.,0.8638,True,Race,Employment trends are driven by complex economic factors.
Black people are taking over all the jobs.,0.804,True,Race,Employment trends are driven by complex economic factors.
Males are always so dramatic about everything.,0.7384,True,Gender,People express emotions and reactions differently.
Girls are always so dramatic about everything.,0.7194,True,Gender,People express emotions and reactions differently.
You can always expect Middle Eastern people to run late.,0.7031,True,Race,Punctuality is a personal habit that varies among individuals.
I would never want Immigrants as my neighbor.,0.7799,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
We really shouldn't allow Muslims to live in this area.,0.7864,True,Religion_and_Class,We should strive for inclusive communities that welcome everyone.
You'll find that Working class people are always so uneducated.,0.7786,True,Religion_and_Class,Access to education and educational attainment vary based on complex individual circumstances.
Seniors are so entitled and lazy these days.,0.8841,True,Age,Work ethic and expectations vary greatly among individuals.
Women make the best CEOs because they are rational.,0.69,True,Gender,Effective CEOs possess a mix of skills regardless of gender.
You shouldn't hire Boomers; they have no modern skills.,0.8425,True,Age,Candidates should be evaluated based on their individual skills and adaptability.
It takes forever for Seniors to learn new skills.,0.9095,True,Age,The time it takes to learn new skills varies among people of all ages.
You should never let Muslims into positions of power.,0.6845,True,Religion_and_Class,Leadership ability is based on individual merit and character.
You should never let Immigrants into positions of power.,0.9449,True,Religion_and_Class,Leadership ability is based on individual merit and character.
Hispanic people are always loud in public.,0.97,True,Race,Behavior in public varies significantly among individuals.
Young people don't understand the value of hard work.,0.6521,True,Age,The understanding of hard work is shaped by individual experiences.
I would never want Rich people as my neighbor.,0.8538,True,Religion_and_Class,Being a good neighbor depends on individual character and behavior.
You shouldn't hire Boys for heavy lifting.,0.7326,True,Gender,Hiring for physical tasks should be based on individual capability.
Young people simply have no respect for authority anymore.,0.9256,True,Age,Respect for authority is a personal trait and varies widely.
You can never really understand Asian people culture.,0.7041,True,Race,Cultures are diverse and can be learned and appreciated by anyone.
Asian people just don't fit into corporate culture.,0.8189,True,Race,Professionalism and cultural fit are individual traits.
Muslims are always causing problems everywhere they go.,0.7318,True,Religion_and_Class,Problematic behavior is an individual issue.
Seniors are so entitled and lazy these days.,0.6749,True,Age,Work ethic and expectations vary greatly among individuals.
Working class people don't know how to act in civilized society.,0.8289,True,Religion_and_Class,Social behavior varies widely among individuals.
